target,platform,amount
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,aura,4133.07
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,balancer,3454.24
0xFc3f916C28f32DEBA1cc04b1F6011F28a691134c,aura,0
0xFc3f916C28f32DEBA1cc04b1F6011F28a691134c,balancer,0
0x79eF6103A513951a3b25743DB509E267685726B7,aura,13377.95
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,11180.74
0xd1c070eBc7Ec77f2134b3Ef75283b6C1fb31a157,aura,0
0xd1c070eBc7Ec77f2134b3Ef75283b6C1fb31a157,balancer,0
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,aura,2971.07
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,balancer,2483.08
0x6A58e7C904eCF991A3183d28FC73bE90732B7a30,aura,280.77
0x6A58e7C904eCF991A3183d28FC73bE90732B7a30,balancer,240.57
0x0021e01B9fAb840567a8291b864fF783894EabC6,aura,4197.30
0x0021e01B9fAb840567a8291b864fF783894EabC6,balancer,3507.93
0xF6A7ad46b00300344C7d4739C0518db70e722DC4,aura,482.35
0xF6A7ad46b00300344C7d4739C0518db70e722DC4,balancer,413.30
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,aura,4341.88
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,balancer,3628.76
0x2D42910D826e5500579D121596E98A6eb33C0a1b,aura,0
0x2D42910D826e5500579D121596E98A6eb33C0a1b,balancer,0
0xe6281Fc01607366794597d7fA6b32931fF986969,aura,0
0xe6281Fc01607366794597d7fA6b32931fF986969,balancer,0
0x0BcDb6d9b27Bd62d3De605393902C7d1a2c71Aab,aura,1417.96
0x0BcDb6d9b27Bd62d3De605393902C7d1a2c71Aab,balancer,1185.08
0x253ED65fff980AEE7E94a0dC57BE304426048b35,aura,2141.77
0x253ED65fff980AEE7E94a0dC57BE304426048b35,balancer,1790.01
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,aura,8372.79
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,balancer,6997.64
0x2C2179abce3413E27BDA6917f60ae37F96D01826,aura,675.36
0x2C2179abce3413E27BDA6917f60ae37F96D01826,balancer,564.44
0x10a361766e64D7983a97202ac3a0F4cee06Eb717,aura,0
0x10a361766e64D7983a97202ac3a0F4cee06Eb717,balancer,0
0x70754AB20c63cc65Ea12206CF28342723d731aC6,aura,0.00
0x70754AB20c63cc65Ea12206CF28342723d731aC6,balancer,573.88
0x3ca33F22893a51A80Ed4ed8afebc900Ae813cA02,aura,523.67
0x3ca33F22893a51A80Ed4ed8afebc900Ae813cA02,balancer,437.66
0xc592c33e51A764B94DB0702D8BAf4035eD577aED,aura,0
0xc592c33e51A764B94DB0702D8BAf4035eD577aED,balancer,0
0xD98ed0426D18B115d6388923803e33ad8aaF11F8,aura,2079.87
0xD98ed0426D18B115d6388923803e33ad8aaF11F8,balancer,1738.26
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,aura,1489.81
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,balancer,1245.13
0xee01c0d9c0439c94D314a6ecAE0490989750746C,aura,0.00
0xee01c0d9c0439c94D314a6ecAE0490989750746C,balancer,546.50
0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,aura,1298.31
0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,balancer,1085.07
0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,aura,1373.59
0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,balancer,1147.99
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,aura,1490.39
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,balancer,1245.62
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,aura,0
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,balancer,0
0x15C84754c7445D0DF6c613f1490cA07654347c1B,aura,1502.95
0x15C84754c7445D0DF6c613f1490cA07654347c1B,balancer,1256.10
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,aura,0.00
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,balancer,510.70
0x49f530b45Ae792CDF5Cbd5D25C5a9b9e59C6c3B8,aura,1173.44
0x49f530b45Ae792CDF5Cbd5D25C5a9b9e59C6c3B8,balancer,980.72
0x62A82FE26E21a8807599374CaC8024fae342eF83,aura,908.18
0x62A82FE26E21a8807599374CaC8024fae342eF83,balancer,759.02
0xA8d4b31225BD6FAF1363DB5A0AB6c016894985d1,aura,0.00
0xA8d4b31225BD6FAF1363DB5A0AB6c016894985d1,balancer,678.35
0x671eD21480acf63b0AB7297b901505F5BccAfa9b,aura,1587.78
0x671eD21480acf63b0AB7297b901505F5BccAfa9b,balancer,1327.00
0xB66E8D615F8109cA52D47D9cB65Fc4edcF9c1342,aura,1539.71
0xB66E8D615F8109cA52D47D9cB65Fc4edcF9c1342,balancer,1286.83
0x86Cf58bD7A64f2304227d1a490660D2954dB4a91,aura,0
0x86Cf58bD7A64f2304227d1a490660D2954dB4a91,balancer,0
0x56c0626E6E3931af90EbB679A321225180d4b32B,aura,2301.53
0x56c0626E6E3931af90EbB679A321225180d4b32B,balancer,1923.53
0xb6d101874B975083C76598542946Fe047f059066,aura,1962.85
0xb6d101874B975083C76598542946Fe047f059066,balancer,1640.46
0x00b9bcd17cB049739D25FD7f826caA2E23b05620,aura,1375.33
0x00b9bcd17cB049739D25FD7f826caA2E23b05620,balancer,1149.45
0x175407b4710b5A1cB67a37C76859F17fb2ff6672,aura,0
0x175407b4710b5A1cB67a37C76859F17fb2ff6672,balancer,0
0xBb1a15dfd849bc5a6F33C002999c8953aFA626Ad,aura,502.40
0xBb1a15dfd849bc5a6F33C002999c8953aFA626Ad,balancer,419.88
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,aura,2818.70
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,balancer,2355.75
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,aura,0
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,balancer,0
0xEaF1eef5814D9be44D0dBFb54c7773844339B7F8,aura,0
0xEaF1eef5814D9be44D0dBFb54c7773844339B7F8,balancer,0
0xBE0967E7510604302b0F974E21A625D9f762B8bb,aura,0
0xBE0967E7510604302b0F974E21A625D9f762B8bb,balancer,0
0x9965713498c74aee49cEf80B2195461F188F24f8,aura,4404.10
0x9965713498c74aee49cEf80B2195461F188F24f8,balancer,3680.76
0x82bcaD0C8F51D88ec339141F0d8953Bc25cc3d8c,aura,1288.63
0x82bcaD0C8F51D88ec339141F0d8953Bc25cc3d8c,balancer,1076.99
0xD103Dd49B8051A09B399A52E9A8aB629392dE2fb,aura,626.15
0xD103Dd49B8051A09B399A52E9A8aB629392dE2fb,balancer,523.30
0xd75026F8723b94d9a360A282080492d905c6A558,aura,0.00
0xd75026F8723b94d9a360A282080492d905c6A558,balancer,653.78
0xefF145872582721e1b33931d61c3fE9C1ca66690,aura,0.00
0xefF145872582721e1b33931d61c3fE9C1ca66690,balancer,698.62
0xe9B2CB6836Be07357bCb8144F398730d5EC268E9,aura,0
0xe9B2CB6836Be07357bCb8144F398730d5EC268E9,balancer,0
0x956074628A64a316086f7125074a8A52d3306321,aura,0
0x956074628A64a316086f7125074a8A52d3306321,balancer,0
0xa86e8e8CfAe8C9847fA9381d4631c13c7b3466bd,aura,1178.18
0xa86e8e8CfAe8C9847fA9381d4631c13c7b3466bd,balancer,984.67
0x1e916950A659Da9813EE34479BFf04C732E03deb,aura,3909.51
0x1e916950A659Da9813EE34479BFf04C732E03deb,balancer,3267.41
0xB95397A17ACbb5824535ebE69Cd9DCF8fA7aFC50,aura,0
0xB95397A17ACbb5824535ebE69Cd9DCF8fA7aFC50,balancer,0
0x2617724db92a8dbD4ebA7E24615BA369133Ff684,aura,0
0x2617724db92a8dbD4ebA7E24615BA369133Ff684,balancer,0
0xA9659365461380e8A6B30a50d421C1f5FCD8A8bC,aura,0.00
0xA9659365461380e8A6B30a50d421C1f5FCD8A8bC,balancer,758.76
0xf8C85bd74FeE26831336B51A90587145391a27Ba,aura,4931.65
0xf8C85bd74FeE26831336B51A90587145391a27Ba,balancer,4121.67
0x346F1D4F98F055bb0791465923E27a10F1082912,aura,542.17
0x346F1D4F98F055bb0791465923E27a10F1082912,balancer,453.12
0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f,payment,55010.96
