target,platform,amount
0x79eF6103A513951a3b25743DB509E267685726B7,aura,15418.68
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,11905.36
0xd1c070eBc7Ec77f2134b3Ef75283b6C1fb31a157,aura,0
0xd1c070eBc7Ec77f2134b3Ef75283b6C1fb31a157,balancer,0
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,aura,3509.15
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,balancer,2709.54
0x6A58e7C904eCF991A3183d28FC73bE90732B7a30,aura,0
0x6A58e7C904eCF991A3183d28FC73bE90732B7a30,balancer,0
0x0021e01B9fAb840567a8291b864fF783894EabC6,aura,5065.81
0x0021e01B9fAb840567a8291b864fF783894EabC6,balancer,3911.50
0xF6A7ad46b00300344C7d4739C0518db70e722DC4,aura,0.00
0xF6A7ad46b00300344C7d4739C0518db70e722DC4,balancer,573.50
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,aura,10565.97
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,balancer,8158.39
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,aura,7486.32
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,balancer,5780.48
0xe6281Fc01607366794597d7fA6b32931fF986969,aura,0
0xe6281Fc01607366794597d7fA6b32931fF986969,balancer,0
0x0BcDb6d9b27Bd62d3De605393902C7d1a2c71Aab,aura,3081.51
0x0BcDb6d9b27Bd62d3De605393902C7d1a2c71Aab,balancer,2379.35
0x253ED65fff980AEE7E94a0dC57BE304426048b35,aura,16073.02
0x253ED65fff980AEE7E94a0dC57BE304426048b35,balancer,12410.59
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,aura,11220.40
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,balancer,8663.70
0x10a361766e64D7983a97202ac3a0F4cee06Eb717,aura,0
0x10a361766e64D7983a97202ac3a0F4cee06Eb717,balancer,0
0x70754AB20c63cc65Ea12206CF28342723d731aC6,aura,0
0x70754AB20c63cc65Ea12206CF28342723d731aC6,balancer,0
0x3ca33F22893a51A80Ed4ed8afebc900Ae813cA02,aura,370.82
0x3ca33F22893a51A80Ed4ed8afebc900Ae813cA02,balancer,290.89
