target,platform,amount
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,aura,9193.24
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,balancer,14190.44
0x79eF6103A513951a3b25743DB509E267685726B7,aura,0
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,0
0xee01c0d9c0439c94D314a6ecAE0490989750746C,aura,1390.44
0xee01c0d9c0439c94D314a6ecAE0490989750746C,balancer,2146.25
0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,aura,1342.23
0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,balancer,2071.83
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,aura,1526.43
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,balancer,2356.16
0x10a361766e64D7983a97202ac3a0F4cee06Eb717,aura,0
0x10a361766e64D7983a97202ac3a0F4cee06Eb717,balancer,0
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,aura,682.59
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,balancer,1053.63
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,aura,2410.00
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,balancer,3720.03
0x95201B61EF19C867dA0D093DF20021e1a559452c,aura,0
0x95201B61EF19C867dA0D093DF20021e1a559452c,balancer,0
0x87012b0C3257423fD74a5986F81a0f1954C17a1d,aura,4242.24
0x87012b0C3257423fD74a5986F81a0f1954C17a1d,balancer,6548.21
0x2C2179abce3413E27BDA6917f60ae37F96D01826,aura,988.94
0x2C2179abce3413E27BDA6917f60ae37F96D01826,balancer,1526.50
0x15C84754c7445D0DF6c613f1490cA07654347c1B,aura,6121.19
0x15C84754c7445D0DF6c613f1490cA07654347c1B,balancer,9448.51
0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,aura,1572.34
0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,balancer,2427.02
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,aura,709.48
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,balancer,1095.14
0x0021e01B9fAb840567a8291b864fF783894EabC6,aura,10167.94
0x0021e01B9fAb840567a8291b864fF783894EabC6,balancer,15694.97
0x274fDa0D445097DCcC55c7F7EF85bFd3877a132e,aura,1784.60
0x274fDa0D445097DCcC55c7F7EF85bFd3877a132e,balancer,2754.66
0x00b9bcd17cB049739D25FD7f826caA2E23b05620,aura,669.74
0x00b9bcd17cB049739D25FD7f826caA2E23b05620,balancer,1032.49
0xb6d101874B975083C76598542946Fe047f059066,aura,1058.71
0xb6d101874B975083C76598542946Fe047f059066,balancer,1632.14
0x56c0626E6E3931af90EbB679A321225180d4b32B,aura,2341.57
0x56c0626E6E3931af90EbB679A321225180d4b32B,balancer,3609.83
0xBb1a15dfd849bc5a6F33C002999c8953aFA626Ad,aura,0.00
0xBb1a15dfd849bc5a6F33C002999c8953aFA626Ad,balancer,610.08
0x19ff30f9B2d32bfb0F21f2DB6c6A3A8604Eb8C2B,aura,8883.93
0x19ff30f9B2d32bfb0F21f2DB6c6A3A8604Eb8C2B,balancer,13695.70
0x49f530b45Ae792CDF5Cbd5D25C5a9b9e59C6c3B8,aura,0
0x49f530b45Ae792CDF5Cbd5D25C5a9b9e59C6c3B8,balancer,0
0x671eD21480acf63b0AB7297b901505F5BccAfa9b,aura,1152.73
0x671eD21480acf63b0AB7297b901505F5BccAfa9b,balancer,1777.09
0x25DDcad849de576c2A6c124984cE59e62739156D,aura,0
0x25DDcad849de576c2A6c124984cE59e62739156D,balancer,0
