target,platform,amount
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,aura,3725.8858
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,balancer,1027.9837
0xFc3f916C28f32DEBA1cc04b1F6011F28a691134c,aura,0
0xFc3f916C28f32DEBA1cc04b1F6011F28a691134c,balancer,585.5115
0x79eF6103A513951a3b25743DB509E267685726B7,aura,0
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,12727.3657
0xCD19892916929F013930ed628547Cc1F439b230e,aura,1447.3441
0xCD19892916929F013930ed628547Cc1F439b230e,balancer,0.0000
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,aura,9527.6245
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,balancer,3710.4389
0x6A58e7C904eCF991A3183d28FC73bE90732B7a30,aura,0
0x6A58e7C904eCF991A3183d28FC73bE90732B7a30,balancer,0
0xA00DB7d9c465e95e4AA814A9340B9A161364470a,aura,0
0xA00DB7d9c465e95e4AA814A9340B9A161364470a,balancer,0
0x03ac2920378A51d6CA78813b1d7578Dab08d3760,aura,2830.0682
0x03ac2920378A51d6CA78813b1d7578Dab08d3760,balancer,613.7993
0x0021e01B9fAb840567a8291b864fF783894EabC6,aura,4368.9470
0x0021e01B9fAb840567a8291b864fF783894EabC6,balancer,1325.3055
0x4B14d90f76FCF4D69CbCCdf87643E5DD7815D21A,aura,0
0x4B14d90f76FCF4D69CbCCdf87643E5DD7815D21A,balancer,0
0xF6A7ad46b00300344C7d4739C0518db70e722DC4,aura,1170.9980
0xF6A7ad46b00300344C7d4739C0518db70e722DC4,balancer,0.0000
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,aura,18147.3480
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,balancer,7695.7997
0x0B9Ea598757c7D03FB1937cc16bdD2C9D416ff80,aura,2479.4193
0x0B9Ea598757c7D03FB1937cc16bdD2C9D416ff80,balancer,451.6756
0x80A423a65a6a630943D9A34b8b78943af00c98cD,aura,0
0x80A423a65a6a630943D9A34b8b78943af00c98cD,balancer,0
0x0BcDb6d9b27Bd62d3De605393902C7d1a2c71Aab,aura,1911.9441
0x0BcDb6d9b27Bd62d3De605393902C7d1a2c71Aab,balancer,189.3013
0x253ED65fff980AEE7E94a0dC57BE304426048b35,aura,4082.6796
0x253ED65fff980AEE7E94a0dC57BE304426048b35,balancer,1192.9488
0x146b6030E6d6a6398B918E9854652a71C9537180,aura,0
0x146b6030E6d6a6398B918E9854652a71C9537180,balancer,0
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,aura,11528.6936
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,balancer,4635.6406
0x2C2179abce3413E27BDA6917f60ae37F96D01826,aura,6399.0489
0x2C2179abce3413E27BDA6917f60ae37F96D01826,balancer,2263.9306
0x70754AB20c63cc65Ea12206CF28342723d731aC6,aura,0
0x70754AB20c63cc65Ea12206CF28342723d731aC6,balancer,0
0x84f7F5cD2218f31B750E7009Bb6fD34e0b945DaC,aura,3192.7591
0x84f7F5cD2218f31B750E7009Bb6fD34e0b945DaC,balancer,781.4908
0xAC08fde28aa2D123B61a5dB3074cAF72760FfeEB,aura,0
0xAC08fde28aa2D123B61a5dB3074cAF72760FfeEB,balancer,580.9874
0xe77D45b5dE97aC7717E4EdE6bE16E3D805fF02A5,aura,0
0xe77D45b5dE97aC7717E4EdE6bE16E3D805fF02A5,balancer,0
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,aura,1738.4314
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,balancer,109.0771
0xee01c0d9c0439c94D314a6ecAE0490989750746C,aura,0
0xee01c0d9c0439c94D314a6ecAE0490989750746C,balancer,0
0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,aura,2409.8417
0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,balancer,419.5060
0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,aura,911.8373
0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,balancer,0.0000
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,aura,2438.0541
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,balancer,432.5500
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,aura,3651.5135
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,balancer,993.5975
0x15C84754c7445D0DF6c613f1490cA07654347c1B,aura,2162.5296
0x15C84754c7445D0DF6c613f1490cA07654347c1B,balancer,305.1603
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,aura,2292.1042
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,balancer,365.0695
0xc6b65bc6bF4a5fF4D90fDf7f568cBF8C99419DA1,aura,0
0xc6b65bc6bF4a5fF4D90fDf7f568cBF8C99419DA1,balancer,0
0xBB034E493eBF45F874e038Ae76576Df9Cc1137e5,aura,0
0xBB034E493eBF45F874e038Ae76576Df9Cc1137e5,balancer,0
0x62A82FE26E21a8807599374CaC8024fae342eF83,aura,866.1369
0x62A82FE26E21a8807599374CaC8024fae342eF83,balancer,200.7710
