target,platform,amount
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,aura,10364.27
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,balancer,7326.05
0xFc3f916C28f32DEBA1cc04b1F6011F28a691134c,aura,0
0xFc3f916C28f32DEBA1cc04b1F6011F28a691134c,balancer,0
0x79eF6103A513951a3b25743DB509E267685726B7,aura,23307.67
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,16475.17
0xCD19892916929F013930ed628547Cc1F439b230e,aura,0
0xCD19892916929F013930ed628547Cc1F439b230e,balancer,0
0xd1c070eBc7Ec77f2134b3Ef75283b6C1fb31a157,aura,0
0xd1c070eBc7Ec77f2134b3Ef75283b6C1fb31a157,balancer,0
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,aura,5527.11
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,balancer,3906.87
0x6A58e7C904eCF991A3183d28FC73bE90732B7a30,aura,0
0x6A58e7C904eCF991A3183d28FC73bE90732B7a30,balancer,0
0x0021e01B9fAb840567a8291b864fF783894EabC6,aura,7473.15
0x0021e01B9fAb840567a8291b864fF783894EabC6,balancer,5282.45
0xF6A7ad46b00300344C7d4739C0518db70e722DC4,aura,1626.36
0xF6A7ad46b00300344C7d4739C0518db70e722DC4,balancer,1149.61
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,aura,16816.35
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,balancer,11886.75
0x0BcDb6d9b27Bd62d3De605393902C7d1a2c71Aab,aura,3329.54
0x0BcDb6d9b27Bd62d3De605393902C7d1a2c71Aab,balancer,2353.50
0x253ED65fff980AEE7E94a0dC57BE304426048b35,aura,39206.87
0x253ED65fff980AEE7E94a0dC57BE304426048b35,balancer,27713.63
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,aura,12634.30
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,balancer,8930.63
0x2C2179abce3413E27BDA6917f60ae37F96D01826,aura,2794.27
0x2C2179abce3413E27BDA6917f60ae37F96D01826,balancer,1975.15
0x10a361766e64D7983a97202ac3a0F4cee06Eb717,aura,843.66
0x10a361766e64D7983a97202ac3a0F4cee06Eb717,balancer,596.35
0x3ca33F22893a51A80Ed4ed8afebc900Ae813cA02,aura,0.00
0x3ca33F22893a51A80Ed4ed8afebc900Ae813cA02,balancer,774.76
0xe77D45b5dE97aC7717E4EdE6bE16E3D805fF02A5,aura,0
0xe77D45b5dE97aC7717E4EdE6bE16E3D805fF02A5,balancer,0
0xD98ed0426D18B115d6388923803e33ad8aaF11F8,aura,10190.69
0xD98ed0426D18B115d6388923803e33ad8aaF11F8,balancer,7203.36
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,aura,2828.28
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,balancer,1999.18
0xee01c0d9c0439c94D314a6ecAE0490989750746C,aura,0
0xee01c0d9c0439c94D314a6ecAE0490989750746C,balancer,0
0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,aura,2873.09
0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,balancer,2030.87
0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,aura,1657.24
0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,balancer,1171.43
0xc592c33e51A764B94DB0702D8BAf4035eD577aED,aura,0
0xc592c33e51A764B94DB0702D8BAf4035eD577aED,balancer,0
0xe6281Fc01607366794597d7fA6b32931fF986969,aura,0
0xe6281Fc01607366794597d7fA6b32931fF986969,balancer,0
0x70754AB20c63cc65Ea12206CF28342723d731aC6,aura,0
0x70754AB20c63cc65Ea12206CF28342723d731aC6,balancer,0
0x95201B61EF19C867dA0D093DF20021e1a559452c,aura,0
0x95201B61EF19C867dA0D093DF20021e1a559452c,balancer,0
0x87012b0C3257423fD74a5986F81a0f1954C17a1d,aura,0
0x87012b0C3257423fD74a5986F81a0f1954C17a1d,balancer,0
0xCDA1B6704B108dF230d2a36da4C088C6afd6f335,aura,0
0xCDA1B6704B108dF230d2a36da4C088C6afd6f335,balancer,0
0xF849D20a927C892Ad2C476a5cc7E2cDbD9BbC18f,aura,0
0xF849D20a927C892Ad2C476a5cc7E2cDbD9BbC18f,balancer,0
0xc6b65bc6bF4a5fF4D90fDf7f568cBF8C99419DA1,aura,0.00
0xc6b65bc6bF4a5fF4D90fDf7f568cBF8C99419DA1,balancer,755.66
0x7d631e72eb15285Da57eeaf40a971724A94ced05,aura,0
0x7d631e72eb15285Da57eeaf40a971724A94ced05,balancer,0
0xAC08fde28aa2D123B61a5dB3074cAF72760FfeEB,aura,0
0xAC08fde28aa2D123B61a5dB3074cAF72760FfeEB,balancer,0
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,aura,3860.20
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,balancer,2728.61
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,aura,901.66
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,balancer,637.34
0x15C84754c7445D0DF6c613f1490cA07654347c1B,aura,0
0x15C84754c7445D0DF6c613f1490cA07654347c1B,balancer,0
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,aura,2757.33
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,balancer,1949.03
0x62A82FE26E21a8807599374CaC8024fae342eF83,aura,1054.69
0x62A82FE26E21a8807599374CaC8024fae342eF83,balancer,745.51
0xBE0967E7510604302b0F974E21A625D9f762B8bb,aura,837.42
0xBE0967E7510604302b0F974E21A625D9f762B8bb,balancer,591.94
0x671eD21480acf63b0AB7297b901505F5BccAfa9b,aura,2299.06
0x671eD21480acf63b0AB7297b901505F5BccAfa9b,balancer,1625.11
0xB66E8D615F8109cA52D47D9cB65Fc4edcF9c1342,aura,2665.48
0xB66E8D615F8109cA52D47D9cB65Fc4edcF9c1342,balancer,1884.12
0xb6d101874B975083C76598542946Fe047f059066,aura,4054.16
0xb6d101874B975083C76598542946Fe047f059066,balancer,2865.71
0xCD41Bc6DC6e9821C4C36848Ff3397493e458A5d1,aura,0
0xCD41Bc6DC6e9821C4C36848Ff3397493e458A5d1,balancer,0
0xEaF1eef5814D9be44D0dBFb54c7773844339B7F8,aura,0.00
0xEaF1eef5814D9be44D0dBFb54c7773844339B7F8,balancer,712.06
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,aura,0.00
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,balancer,713.21
0x4e15b9184553740f5C822bd3d6169029D302e63e,aura,0
0x4e15b9184553740f5C822bd3d6169029D302e63e,balancer,0
0xa8Bb331a84032b156E5c670152A5Bd48f5DeC784,aura,0
0xa8Bb331a84032b156E5c670152A5Bd48f5DeC784,balancer,0
0xB5dCdE9aDCace88705658Aa276C557afC011FE55,aura,0
0xB5dCdE9aDCace88705658Aa276C557afC011FE55,balancer,0
0xBB034E493eBF45F874e038Ae76576Df9Cc1137e5,aura,0
0xBB034E493eBF45F874e038Ae76576Df9Cc1137e5,balancer,0
0xBb1a15dfd849bc5a6F33C002999c8953aFA626Ad,aura,861.77
0xBb1a15dfd849bc5a6F33C002999c8953aFA626Ad,balancer,609.15
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,aura,24230.76
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,balancer,17127.66
0x9965713498c74aee49cEf80B2195461F188F24f8,aura,10328.64
0x9965713498c74aee49cEf80B2195461F188F24f8,balancer,7300.87
0x82bcaD0C8F51D88ec339141F0d8953Bc25cc3d8c,aura,2978.81
0x82bcaD0C8F51D88ec339141F0d8953Bc25cc3d8c,balancer,2105.59
0xD103Dd49B8051A09B399A52E9A8aB629392dE2fb,aura,916.30
0xD103Dd49B8051A09B399A52E9A8aB629392dE2fb,balancer,647.70
0xd75026F8723b94d9a360A282080492d905c6A558,aura,1335.74
0xd75026F8723b94d9a360A282080492d905c6A558,balancer,944.18
0xefF145872582721e1b33931d61c3fE9C1ca66690,aura,0
0xefF145872582721e1b33931d61c3fE9C1ca66690,balancer,0
0xe9B2CB6836Be07357bCb8144F398730d5EC268E9,aura,0
0xe9B2CB6836Be07357bCb8144F398730d5EC268E9,balancer,0
