pool_id,chain,symbol,last_join_exit,bpt_price,earned_fees,total_distribtuion,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,1729782531,28.4635,518.6622,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-235.8445,0
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,1729818473,0.4627,9058.3003,12372.5643,4021.0834,2165.1987,6186.2821,4538.2206,1648.0616,862.6672,0
0xcdcef9765d369954a4a936064535710f7235110a000200000000000000000558,arbitrum,ECLP-weETH-wstETH,1729817154,2590.2669,4837.9683,6608.0911,2147.6296,1156.4159,3304.0456,2598.8725,705.1730,460.7439,0
0xb61371ab661b1acec81c699854d2f911070c059e000000000000000000000516,arbitrum,ezETH/wstETH,1729822275,2629.8932,3815.9329,5212.1119,1693.9364,912.1196,2606.0560,2129.2217,476.8342,363.4104,0
0xc2598280bfea1fe18dfcabd21c7165c40c6859d30000000000000000000004f3,arbitrum,wstETH/sfrxETH,1729794003,2602.3241,2779.3731,3796.2942,1233.7956,664.3515,1898.1471,1652.8966,245.2505,264.6936,0
0x7b54c44fbe6db6d97fd22b8756f89c0af16202cc00000000000000000000053c,arbitrum,ETHx/wstETH,1729808903,2585.7499,1628.9891,2225.0060,723.1270,389.3761,1112.5030,1112.5030,0.0000,155.1368,0
0x2ce4457acac29da4736ae6f5cd9f583a6b335c270000000000000000000004dc,arbitrum,sFRAX/4POOL,1729816850,1.0218,1523.6315,2081.1000,676.3575,364.1925,1040.5500,1040.5500,0.0000,145.1030,0
0x7967fa58b9501600d96bd843173b9334983ee6e600020000000000000000056e,arbitrum,ECLP-wstETH-WETH,1729816685,2578.8815,1419.9695,1939.5099,630.3407,339.4142,969.7550,0.0000,969.7550,135.2308,0
0x9791d590788598535278552eecd4b211bfc790cb000000000000000000000498,arbitrum,wstETH-WETH-BPT,1729825146,2616.5994,1332.7274,1820.3476,591.6130,318.5608,910.1738,0.0000,910.1738,126.9223,0
0x2d6ced12420a9af5a83765a8c48be2afcd1a8feb000000000000000000000500,arbitrum,cbETH/rETH/wstETH,1729822102,2599.8093,1192.6740,1629.0513,529.4417,285.0840,814.5257,0.0000,814.5257,113.5843,0
0xd0ec47c54ca5e20aaae4616c25c825c7f48d40690000000000000000000004ef,arbitrum,rETH/wETH BPT,1729771261,2587.9029,960.1972,1311.5156,426.2426,229.5152,655.7578,0.0000,655.7578,91.4444,0
0xf13758d6edd1937dcb3f4fe75889b579d400299a000000000000000000000595,arbitrum,weETH/wETH,1729598788,2577.4653,783.1549,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-460.2646,0
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL,1729820974,1.0112,619.8208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-364.2722,0
0x59743f1812bb85db83e9e4ee061d124aaa64290000000000000000000000052b,arbitrum,sUSDe/sFRAX,1729795111,1.0276,471.8231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-277.2932,0
0x90e6cb5249f5e1572afbf8a96d8a1ca6acffd73900000000000000000000055c,arbitrum,rsETH/wETH,1729807279,2584.4954,450.6358,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-264.8413,0
