,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0x1d0a8a31cdb04efac3153237526fb15cc65a252000000000000000000000000f,zkevm,B-rETH-STABLE,196.28,14676.8879,7902.9396,22579.8275,15334.7787,7245.0488,0,0,2024-12-18 12:52:11+00:00
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,6089.77,15884.4733,8553.1779,24463.7165,17214.3757,7249.3408,26.0652,0,2024-12-18 20:01:54+00:00
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,219.99,573.8189,308.9794,883.7399,0,883.7399,0.9416,0,2024-12-19 01:40:15+00:00
0xa8cbbffe0d62797afaf7af0a23810bd5ba39a4dd000200000000000000000f04,polygon,ECLP-GYD-AUSDT,6.73,17.5544,9.4524,0,0,0,-27.0068,0,2024-12-16 19:33:00+00:00
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,25389.66,17913.8294,9645.9082,27656.2150,0,27656.2150,96.4774,0,2024-12-18 10:52:11+00:00
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,17073.78,12046.5096,6486.5821,18597.9697,13830.4560,4767.5139,64.8780,0,2024-12-18 14:37:35+00:00
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,15491.89,10930.3975,5885.5986,16874.8633,12660.2320,4214.6313,58.8672,0,2024-12-18 07:14:59+00:00
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,13816.86,9748.5698,5249.2299,15050.3019,11421.1063,3629.1958,52.5022,0,2024-12-19 02:00:59+00:00
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,12846.13,9063.6654,4880.4352,13992.9140,10702.9960,3289.9182,48.8135,0,2024-12-17 21:03:47+00:00
0x41fdbea2e52790c0a1dc374f07b628741f2e062d0002000000000000000006be,mainnet,ECLP-stdeUSD-deUSD,8851.28,6245.0746,3362.7325,9641.4406,7747.7528,1893.6881,33.6336,0,2024-12-18 22:54:23+00:00
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,8192.77,5780.4588,3112.5548,8924.1452,7260.6111,1663.5338,31.1316,0,2024-12-19 03:10:11+00:00
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,7874.94,5556.2119,2991.8064,8577.9422,7025.4924,1552.4498,29.9238,0,2024-12-17 07:04:35+00:00
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,7554.59,5330.1870,2870.1007,8228.9941,6788.5091,1440.4851,28.7063,0,2024-12-19 01:52:11+00:00
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,6445.10,4547.3796,2448.5890,7020.4591,5967.7491,1052.7099,24.4905,0,2024-12-17 07:34:35+00:00
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,6207.47,4379.7183,2358.3099,6761.6158,5791.9592,969.6564,23.5876,0,2024-12-19 06:08:11+00:00
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,3878.45,2736.4640,1473.4806,4224.6822,4069.0359,155.6466,14.7375,0,2024-12-14 22:53:47+00:00
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,RDNT-WETH,2168.32,1529.8714,823.7769,2361.8877,2361.8876,0,8.2394,0,2024-12-18 19:30:23+00:00
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,2164.56,1527.2185,822.3484,2357.7919,2357.7919,0,8.2250,0,2024-12-14 21:41:11+00:00
