,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,2583.02,5364.7778,2888.7265,8726.3117,5943.7680,2782.5437,472.8074,0,2025-01-16 04:40:49+00:00
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,125.14,259.9083,139.9506,0,0,0,-399.8589,0,2025-01-15 17:40:29+00:00
0xa8cbbffe0d62797afaf7af0a23810bd5ba39a4dd000200000000000000000f04,polygon,ECLP-GYD-AUSDT,22.83,47.4165,25.5320,0,0,0,-72.9485,0,2025-01-15 22:37:47+00:00
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,20722.25,14578.0579,7849.7235,22707.8877,16644.3735,6063.5142,280.1064,0,2025-01-16 02:02:59+00:00
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,20042.51,14099.8623,7592.2335,21963.0139,0,21963.0139,270.9181,0,2025-01-15 22:54:47+00:00
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,18778.61,13210.7114,7113.4600,20578.0052,15193.6429,5384.3624,253.8339,0,2025-01-16 04:28:23+00:00
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,17930.99,12614.4125,6792.3760,19649.1648,14560.9803,5088.1846,242.3763,0,2025-01-13 00:12:59+00:00
0x41fdbea2e52790c0a1dc374f07b628741f2e062d0002000000000000000006be,mainnet,ECLP-stdeUSD-deUSD,11740.01,8259.0715,4447.1924,12864.9557,9940.0401,2924.9157,158.6918,0,2025-01-13 13:54:47+00:00
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,9267.18,6519.4410,3510.4682,10155.1753,8094.3227,2060.8527,125.2661,0,2025-01-14 08:35:11+00:00
0xff42a9af956617e4c3532ef2fc7567465efe4909000200000000000000000672,mainnet,50KEP/50rsETH,4626.15,3254.4865,1752.4158,5069.4348,4630.2632,439.1715,62.5325,0,2025-01-12 01:35:11+00:00
