,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,862.67,436.9027,235.2553,881.0430,0,881.0430,208.8850,0,2025-03-26 15:26:35+00:00
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,268.09,135.7753,73.1098,0,0,0,-208.8850,0,2025-03-25 10:26:40+00:00
0xb3047330c1cb5eb1a3670fabfb99bdc106d631eb0000000000000000000005e4,arbitrum,sUSDX/USDX,4453.29,1737.5814,935.6208,3412.7568,2609.1623,803.5944,739.5546,0,2025-03-27 09:56:43+00:00
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,3534.59,1379.1237,742.6051,2708.7156,2132.5277,576.1881,586.9868,0,2025-03-27 09:02:02+00:00
0xd0ec47c54ca5e20aaae4616c25c825c7f48d40690000000000000000000004ef,arbitrum,rETH/wETH BPT,1151.59,449.3265,241.9451,882.5154,0,882.5156,191.2438,0,2025-03-27 08:00:45+00:00
0xb61371ab661b1acec81c699854d2f911070c059e000000000000000000000516,arbitrum,ezETH/wstETH,660.89,257.8656,138.8507,0,0,0,-396.7163,0,2025-03-27 08:06:32+00:00
0xf13758d6edd1937dcb3f4fe75889b579d400299a000000000000000000000595,arbitrum,weETH/wETH,387.76,151.2959,81.4670,0,0,0,-232.7629,0,2025-03-26 16:12:15+00:00
0x90e6cb5249f5e1572afbf8a96d8a1ca6acffd73900000000000000000000055c,arbitrum,rsETH/wETH,354.40,138.2795,74.4582,0,0,0,-212.7377,0,2025-03-27 09:54:20+00:00
0x9791d590788598535278552eecd4b211bfc790cb000000000000000000000498,arbitrum,wstETH-WETH-BPT,307.53,119.9918,64.6110,0,0,0,-184.6028,0,2025-03-26 19:16:33+00:00
0x2d6ced12420a9af5a83765a8c48be2afcd1a8feb000000000000000000000500,arbitrum,cbETH/rETH/wstETH,139.95,54.6056,29.4030,0,0,0,-84.0086,0,2025-03-16 16:45:12+00:00
0xef0c116a2818a5b1a5d836a291856a321f43c2fb00020000000000000000053a,arbitrum,ECLP-WOETH-WETH,114.05,44.4999,23.9615,0,0,0,-68.4615,0,2025-03-26 11:41:31+00:00
0xc2598280bfea1fe18dfcabd21c7165c40c6859d30000000000000000000004f3,arbitrum,wstETH/sfrxETH,89.76,35.0225,18.8583,0,0,0,-53.8808,0,2025-03-20 23:00:49+00:00
