,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,4649.71,3699.3515,1991.9585,5795.4881,3933.6119,1861.8762,104.1781,0,2024-06-06 16:30:01+00:00
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,1184.29,942.2319,507.3556,1476.1219,1001.8985,474.2234,26.5344,0,2024-06-06 16:01:51+00:00
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,106.79,84.9631,45.7494,0,0,0,-130.7125,0,2024-06-06 06:17:39+00:00
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,79448.44,39208.2341,21112.1260,60828.5770,41392.7706,19435.8064,508.2169,0,2024-06-05 22:40:47+00:00
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,31920.75,15753.0625,8482.4182,24439.6719,16694.2764,7745.3954,204.1912,0,2024-06-03 14:29:35+00:00
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,20461.17,10097.6979,5437.2219,15665.8061,10739.1296,4926.6766,130.8863,0,2024-06-05 15:54:23+00:00
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,19916.03,9828.6683,5292.3599,15248.4275,10455.8391,4792.5881,127.3993,0,2024-06-06 11:35:11+00:00
0xdedb11a6a23263469567c2881a9b9f8629ee0041000000000000000000000669,mainnet,svETH/wstETH,15493.25,7646.0025,4117.0783,11862.1883,8157.4735,3704.7145,99.1075,0,2024-06-05 00:46:23+00:00
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,13869.83,6844.8360,3685.6809,10619.2395,7313.8384,3305.4012,88.7226,0,2024-06-04 15:34:35+00:00
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,9521.95,4699.1337,2530.3028,7290.3467,5054.3957,2235.9509,60.9102,0,2024-06-06 09:20:11+00:00
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,6758.21,3335.2131,1795.8840,5174.3282,3618.1758,1556.1521,43.2311,0,2024-06-05 00:44:11+00:00
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,6518.58,3216.9544,1732.2062,4990.8589,3493.6484,1497.2106,41.6982,0,2024-06-03 17:59:47+00:00
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,6182.90,3051.2945,1643.0047,4733.8501,3319.2072,1414.6432,39.5508,0,2024-06-05 01:20:59+00:00
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,RDNT-WETH,4943.50,2439.6439,1313.6544,3784.9211,2675.1339,1109.7870,31.6227,0,2024-06-06 04:54:59+00:00
