,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,4116.37,6214.12,3346.06,9560.18,5394.72,4165.46,0,0
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,1173.92,1772.16,954.24,2726.40,1538.48,1187.92,0,0
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,410.75,620.07,333.89,953.96,538.31,415.65,0,0
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,42177.10,18386.74,9900.55,28483.60,16073.02,12410.59,196.31,0
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,40460.07,17638.21,9497.50,27324.03,15418.68,11905.36,188.32,0
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,29443.37,12835.58,6911.47,19884.10,11220.40,8663.70,137.05,0
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,27726.08,12086.94,6508.35,18724.36,10565.97,8158.39,129.06,0
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,19644.80,8563.98,4611.37,13266.79,7486.32,5780.48,91.44,0
0xdedb11a6a23263469567c2881a9b9f8629ee0041000000000000000000000669,mainnet,svETH/wstETH,14803.84,6453.60,3475.02,9997.54,5641.51,4356.03,68.92,0
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,13293.15,5795.03,3120.40,8977.31,5065.81,3911.50,61.88,0
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,10300.24,4490.30,2417.85,6956.09,3925.25,3030.84,47.94,0
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,9208.33,4014.29,2161.54,6218.69,3509.15,2709.54,42.86,0
0x7761b6e0daa04e70637d81f1da7d186c205c2ade00000000000000000000065d,mainnet,rsETH / ETHx,8086.17,3525.10,1898.13,5460.86,3081.51,2379.35,37.64,0
