Unnamed: 0,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit,date string
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,3914.9,3234.1767,1741.4798,5336.8996,3557.1887,1779.7109,361.2432,0.0,2024-09-28 14:04:54+00:00,2024-09-12_2024-09-26
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,284.23,234.8081,126.4351,0.0,0.0,0.0,-361.2432,0.0,2024-09-28 18:02:14+00:00,2024-09-12_2024-09-26
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-27 11:14:05+00:00,2024-09-12_2024-09-26
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,14039.94,8822.7408,4750.7066,13768.6877,9585.6451,4183.0427,195.2403,0.0,2024-09-27 20:10:47+00:00,2024-09-12_2024-09-26
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,10620.43,6673.9104,3593.644,10415.2427,7350.4829,3064.76,147.6883,0.0,2024-09-27 23:39:47+00:00,2024-09-12_2024-09-26
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,10114.45,6355.951,3422.4352,9919.0384,0.0,9919.0382,140.6522,0.0,2024-09-28 05:55:23+00:00,2024-09-12_2024-09-26
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,5790.04,3638.4787,1959.1808,5678.1761,4193.0991,1485.077,80.5166,0.0,2024-09-27 21:48:11+00:00,2024-09-12_2024-09-26
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,5141.88,3231.173,1739.8624,5042.5386,3769.4295,1273.109,71.5033,0.0,2024-09-28 18:20:35+00:00,2024-09-12_2024-09-26
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,5080.93,3192.8718,1719.2387,4982.7662,3729.5896,1253.1767,70.6557,0.0,2024-09-28 16:34:35+00:00,2024-09-12_2024-09-26
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,4669.12,2934.0891,1579.8942,4578.9124,3460.4099,1118.5024,64.9291,0.0,2024-09-28 14:19:35+00:00,2024-09-12_2024-09-26
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,4085.6,2567.4034,1382.448,4006.666,3078.9922,927.6738,56.8146,0.0,2024-09-24 10:33:59+00:00,2024-09-12_2024-09-26
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,3988.9,2506.6368,1349.7275,3911.8343,3015.7843,896.05,55.4699,0.0,2024-09-26 20:55:35+00:00,2024-09-12_2024-09-26
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,3389.63,2130.0538,1146.952,3324.1422,2624.0714,700.0707,47.1364,0.0,2024-09-28 18:27:47+00:00,2024-09-12_2024-09-26
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,3303.25,2075.7723,1117.7235,3239.4312,2567.6093,671.8219,45.9353,0.0,2024-09-28 13:42:23+00:00,2024-09-12_2024-09-26
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,3275.04,2058.0451,1108.1781,3211.7661,2549.1698,662.5964,45.5429,0.0,2024-09-16 16:14:47+00:00,2024-09-12_2024-09-26
0x264062ca46a1322c2e6464471764089e01f22f1900000000000000000000066b,mainnet,sDOLA-DOLA BSP,1904.48,1196.781,644.4205,1867.6853,1653.3035,214.3817,26.4838,0.0,2024-09-27 03:18:23+00:00,2024-09-12_2024-09-26
0xb91159aa527d4769cb9faf3e4adb760c7e8c8ea700000000000000000000067c,mainnet,ETHx/wstETH,1882.52,1182.9813,636.9899,1846.1498,1638.9494,207.2003,26.1786,0.0,2024-09-28 13:08:35+00:00,2024-09-12_2024-09-26
0x7761b6e0daa04e70637d81f1da7d186c205c2ade00000000000000000000065d,mainnet,rsETH / ETHx,1592.16,1000.5182,538.7406,1561.3993,1449.1556,112.2439,22.1406,0.0,2024-09-27 20:47:35+00:00,2024-09-12_2024-09-26
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,RDNT-WETH,1461.9,918.6624,494.6644,1433.656,1364.0112,69.6449,20.3292,0.0,2024-09-28 06:52:11+00:00,2024-09-12_2024-09-26
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,1384.85,870.2439,468.5929,1358.0945,1313.6474,44.4474,19.2577,0.0,2024-09-27 13:17:11+00:00,2024-09-12_2024-09-26
