,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,total_to_distribute,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,0.00655577,5327.0015964313,2868.3854750015,8195.3870714328,16390.77414286562250561707487,5619.3550943538,2576.031977079,0.0000,0,2024-06-20 06:30:04+00:00
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,0.00116177,944.0158279937,508.3162150735,1452.3320430672,2904.664086134377494382925128,995.8247723711,456.5072706961,0.0000,0,2024-06-20 10:31:50+00:00
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,0.00,0.0000,0.0000,0,0E-18,0,0,0.0000,0,2024-06-19 22:56:08+00:00
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,0.07018985,29263.810854656,15757.4366140455,45021.2474687015,90042.4949374029905374864601,30869.8508212352,14151.3966474663,0.0000,0,2024-06-20 10:50:47+00:00
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,0.05053297,21068.3920253997,11344.5187829076,32412.9108083073,64825.82161661460312553862365,22224.6556368756,10188.2551714317,0.0000,0,2024-06-17 02:12:11+00:00
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,0.03317698,13832.2687318566,7448.1447017689,21280.4134336255,42560.82686725101675965082611,14591.40350491,6689.0099287155,0.0000,0,2024-06-19 23:46:59+00:00
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,0.02184667,9108.3941436559,4904.519923507,14012.9140671629,28025.82813432584154041630411,9608.2758951722,4404.6381719907,0.0000,0,2024-06-19 12:09:23+00:00
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,0.02112924,8809.2805849084,4743.4587764891,13552.7393613975,27105.47872279499952342511648,9292.7465547522,4259.9928066453,0.0000,0,2024-06-20 04:50:59+00:00
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,0.01649762,6878.2485107461,3703.6722750171,10581.9207857632,21163.84157152637066243975979,7255.736667131,3326.1841186322,0.0000,0,2024-06-16 11:45:35+00:00
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,0.01595772,6653.1514136526,3582.4661458129,10235.6175594655,20471.23511893096615471978404,7018.2859180785,3217.331641387,0.0000,0,2024-06-18 23:53:23+00:00
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,0.01106902,4614.936598759,2484.9658608702,7099.9024596292,14199.8049192584223560706908,4868.2109469855,2231.6915126437,0.0000,0,2024-06-20 04:47:59+00:00
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,0.01084964,4523.4718809217,2435.7156281886,6959.1875091103,13918.37501822055511231516518,4771.7265140773,2187.460995033,0.0000,0,2024-06-17 02:32:59+00:00
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,0.00658224,2744.2917510146,1477.6955582386,4221.9873092532,8443.97461850639970160165433,2894.9024234924,1327.0848857608,0.0000,0,2024-06-20 00:07:35+00:00
0xdedb11a6a23263469567c2881a9b9f8629ee0041000000000000000000000669,mainnet,svETH/wstETH,0.0048565,2024.7898722627,1090.2714696799,3115.0613419426,6230.122683885185556106801674,2135.9132483305,979.1480936121,0.0000,0,2024-06-17 20:23:23+00:00
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,0.0048049,2003.2766101585,1078.68740547,3081.9640156285,6163.928031257024521473812697,2113.219307506,968.7447081225,0.0000,0,2024-06-20 01:15:23+00:00
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,0.0040958,1707.6360257003,919.4963215309,2627.1323472312,5254.264694462424528096826582,1801.353543192,825.7788040392,0.0000,0,2024-06-20 06:41:59+00:00
0x40c806394d03d350420d13cd7d1de1c806f349560000000000000000000005f5,mainnet,qETH/WETH,0.0036819,1535.0713128146,826.5768607463,2361.6481735609,4723.296347121778360759730893,1619.3182310363,742.3299425246,0.0000,0,2024-06-17 06:42:35+00:00
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,RDNT-WETH,0.00347201,1447.5632007402,779.4571080909,2227.0203088311,4454.040617662166915815582514,1527.0075480976,700.0127607335,0.0000,0,2024-06-20 01:16:47+00:00
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,0.00306935,1279.6847100648,689.0609977272,1968.7457077919,3937.49141558392319090629295,1349.9156447572,618.8300630347,0.0000,0,2024-06-18 06:12:11+00:00
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,0.00252065,1050.9186845504,565.879291681,1616.7979762314,3233.595952462755561000846214,1108.5946112229,508.2033650085,0.0000,0,2024-06-19 23:49:35+00:00
