,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,total_to_distribute,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xf7a826d47c8e02835d94fb0aa40f0cc9505cb1340002000000000000000005e0,mainnet,ECLP-wstETH-cbETH,0.00237257,989.1806253957,532.6357213669,1521.8163467626,3043.63269352523156858896622,1043.4682787175,478.3480680451,0.0000,0,2024-06-16 23:11:35+00:00
0x49cbd67651fbabce12d1df18499896ec87bef46f00000000000000000000064a,mainnet,sDAI/3Pool,0.00208093,867.5890021389,467.163308844,1334.7523109829,2669.504621965826914705925421,915.203532554,419.5487784289,0.0000,0,2024-06-11 06:30:59+00:00
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,0.00203028,846.4718175347,455.7925171341,1302.2643346688,2604.528669337634058036140699,892.9274065315,409.3369281373,0.0000,0,2024-06-17 07:17:47+00:00
0x264062ca46a1322c2e6464471764089e01f22f1900000000000000000000066b,mainnet,sDOLA-DOLA BSP,0.00192052,800.7102739582,431.1516859775,1231.8619599357,2463.723919871368570413720735,844.6544037236,387.2075562121,0.0000,0,2024-06-20 02:41:47+00:00
0xb08885e6026bab4333a80024ec25a1a3e1ff2b8a000200000000000000000445,mainnet,B-staFiETH-WETH-Stable,0.0012474,520.0706036571,280.0380173538,800.1086210108,1600.217242021747569790512593,548.612825279,251.4957957318,0.0000,0,2024-06-09 13:30:59+00:00
0x1cce5169bde03f3d5ad0206f6bd057953539dae600020000000000000000062b,mainnet,ECLP-GYD-sDAI,0.00103939,433.3463081089,233.340319751,666.6866278599,1333.373255719820519131442107,457.1289758431,209.5576520168,0.0000,0,2024-06-19 03:25:23+00:00
0x09b03b7cbb19b3dae94f884cf60dbc3c99a3947b00000000000000000000066c,mainnet,pyUSD/sDOLA BSP,0.00094321,393.2465881637,211.7481628574,604.994751021,1209.989502042136985972510328,414.8285256785,190.1662253425,0.0000,0,2024-06-20 02:04:23+00:00
0x7761b6e0daa04e70637d81f1da7d186c205c2ade00000000000000000000065d,mainnet,rsETH / ETHx,0.00074008,308.5568801944,166.1460124124,474.7028926068,949.4057852135885757981101169,325.4909249098,149.211967697,0.0000,0,2024-06-09 07:23:23+00:00
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,0.00060736,253.2227688289,136.3507216771,389.573490506,779.1469810119711239281431204,267.1199980451,122.4534924609,0.0000,0,2024-06-18 22:20:11+00:00
0xb91159aa527d4769cb9faf3e4adb760c7e8c8ea700000000000000000000067c,mainnet,ETHx/wstETH,0.00043484,181.2950948326,97.6204356791,278.9155305118,557.8310610234500058102505179,191.2448300019,87.6707005099,0.0000,0,2024-06-19 17:36:47+00:00
0x38fe2b73612527eff3c5ac3bf2dcb73784ad927400000000000000000000068c,mainnet,saETH/wstETH,0.00,0.0000,0.0000,0,0E-16,0,0,0.0000,0,2024-06-05 00:44:35+00:00
0x47a4f5440ab097cf3ec7abeedf1afecc5749a4e200000000000000000000068d,mainnet,aETH/wstETH,0.00,0.0000,0.0000,0,0E-16,0,0,0.0000,0,2024-06-05 00:44:59+00:00
0x5f1f4e50ba51d723f12385a8a9606afc3a0555f5000200000000000000000465,mainnet,50wstETH-50LDO,0.00,0.0000,0.0000,0,0E-16,0,0,0.0000,0,2024-05-21 19:24:11+00:00
0xb3b675a9a3cb0df8f66caf08549371bfb76a9867000200000000000000000611,mainnet,ECLP-mevETH-wETH,0.00,0.0000,0.0000,0,0E-16,0,0,0.0000,0,2024-06-20 10:42:59+00:00
0xb54e6aadbf1ac1a3ef2a56e358706f0f8e320a0300000000000000000000059f,mainnet,vETH/WETH BPT,0.00,0.0000,0.0000,0,0E-16,0,0,0.0000,0,2024-06-05 00:48:47+00:00
0xdd59f89b5b07b7844d72996fc9d83d81acc8219600000000000000000000059e,mainnet,uniETH-WETH,0.00,0.0000,0.0000,0,0E-16,0,0,0.0000,0,2024-06-05 00:48:23+00:00
0xff42a9af956617e4c3532ef2fc7567465efe4909000200000000000000000672,mainnet,50KEP/50rsETH,0.00,0.0000,0.0000,0,0E-16,0,0,0.0000,0,2024-05-29 03:46:59+00:00
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,0.0096294,8803.29804185,4740.23740715,13543.535449,27087.07089800000000000,9286.4356811391,4257.0997678609,0,0,2024-06-20 06:21:35+00:00
0xc771c1a5905420daec317b154eb13e4198ba97d0000000000000000000000023,base,rETH-WETH-BPT,0.00127382,660.6177605728,355.717255693,1016.3350162659,2032.670032531650137711770592,696.8734120114,319.4616042545,0,0,2024-06-20 07:49:47+00:00
0xab99a3e856deb448ed99713dfce62f937e2d4d74000000000000000000000118,base,weETH/wETH,0.00076686,397.7024507959,214.1474735055,611.8499243014,1223.699848602816084380562714,419.5289324513,192.3209918501,0,0,2024-06-20 10:54:23+00:00
0x0c659734f1eef9c63b7ebdf78a164cdd745586db000000000000000000000046,base,USDC/USDbC/axlUSDC,0.00011288,58.5408714053,31.5220076798,90.062879085,180.1257581701270552706855478,61.7536785008,28.3092005842,0,0,2024-06-19 22:17:39+00:00
0xfb4c2e6e6e27b5b4a07a36360c89ede29bb3c9b6000000000000000000000026,base,cbETH/WETH,0.00010478,54.340117876,29.2600634717,83.6001813477,167.2003626954067226369811454,57.322381585,26.2777997627,0,0,2024-06-20 11:03:31+00:00
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,0.01360253,4885.6932097652,2630.7578821813,7516.4510919465,15032.90218389302245839797482,5153.8270696477,2362.6240222988,0,0,2024-06-20 08:13:44+00:00
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,0.0034982,1256.4671415098,676.5592300437,1933.0263715535,3866.052743106977541602025176,1325.4238626962,607.6025088573,0,0,2024-06-18 17:52:16+00:00
0x32df62dc3aed2cd6224193052ce665dc181658410002000000000000000003bd,arbitrum,RDNT-WETH,0.01953543,8555.7785396744,4606.9576752093,13162.7362148838,26325.47242976745654548072489,9025.3319532119,4137.4042616719,0.0000,0,2024-06-20 10:38:18+00:00
0x9791d590788598535278552eecd4b211bfc790cb000000000000000000000498,arbitrum,wstETH-WETH-BPT,0.00330937,1449.3787352437,780.4347035928,2229.8134388365,4459.626877673006665014158713,1528.922721742,700.8907170945,0.0000,0,2024-06-20 06:33:24+00:00
0x2d6ced12420a9af5a83765a8c48be2afcd1a8feb000000000000000000000500,arbitrum,cbETH/rETH/wstETH,0.00229658,1005.8150692688,541.5927296063,1547.4077988751,3094.815597750156121478775905,1061.0156447597,486.3921541154,0.0000,0,2024-06-19 18:13:54+00:00
0xd0ec47c54ca5e20aaae4616c25c825c7f48d40690000000000000000000004ef,arbitrum,rETH/wETH BPT,0.00180816,791.905605574,426.4107106937,1218.3163162676,2436.632632535333383819881493,835.3665224937,382.9497937739,0.0000,0,2024-06-19 14:05:54+00:00
0x2ce4457acac29da4736ae6f5cd9f583a6b335c270000000000000000000004dc,arbitrum,sFRAX/4POOL,0.00142654,624.7704973982,336.4148832144,961.1853806126,1922.370761225172851602963092,659.0587995521,302.1265810605,0.0000,0,2024-06-20 07:32:19+00:00
0xc2598280bfea1fe18dfcabd21c7165c40c6859d30000000000000000000004f3,arbitrum,wstETH/sfrxETH,0.00122431,536.2014157819,288.7238392672,824.9252550491,1649.850510098225203601738293,565.6289195394,259.2963355097,0.0000,0,2024-06-17 20:14:13+00:00
0xb61371ab661b1acec81c699854d2f911070c059e000000000000000000000516,arbitrum,ezETH/wstETH,0.00103532,453.4309527712,244.1551284153,697.5860811865,1395.172162373013469458676062,478.3158946488,219.2701865377,0.0000,0,2024-06-20 09:15:38+00:00
0x3fd4954a851ead144c2ff72b1f5a38ea5976bd54000000000000000000000480,arbitrum,ankrETH/wstETH-BPT,0.00083246,364.5859550129,196.3155142377,560.9014692506,1121.802938501194021930967695,384.5949558198,176.3065134308,0.0000,0,2024-06-18 22:05:38+00:00
0x423a1323c871abc9d89eb06855bf5347048fc4a5000000000000000000000496,arbitrum,4POOL-BPT,0.00052064,228.020603534,122.7803249798,350.8009285138,701.6018570276376277276253764,240.534701725,110.2662267888,0.0000,0,2024-06-20 09:49:36+00:00
0x125bc5a031b2db6733bfa35d914ffa428095978b000200000000000000000514,arbitrum,ECLP-AUSDC-AUSDT,0.00047182,206.6392923314,111.2673112554,317.9066035867,635.8132071735372263261528217,217.9799534571,99.9266501296,0.0000,0,2024-06-20 07:11:13+00:00
0xef0c116a2818a5b1a5d836a291856a321f43c2fb00020000000000000000053a,arbitrum,ECLP-WOETH-WETH,0.00044596,195.3135916411,105.1688570375,300.4824486786,600.9648973572090743343035741,206.0326820477,94.4497666309,0.0000,0,2024-06-19 05:59:51+00:00
0x451b0afd69ace11ec0ac339033d54d2543b088a80000000000000000000004d5,arbitrum,plsRDNT-Stable,0.00001307,5.7241650434,3.0822427157,8.8064077591,17.61281551815780922403208296,6.0383154417,2.7680923174,0.0000,0,2024-06-20 01:14:44+00:00
0x9f8ed1acfe0c863381b9081aff2144fc867aa7730002000000000000000004d4,arbitrum,50ANKR/50ankrETH,0.00,0.0000,0.0000,0,0E-17,0,0,0.0000,0,2024-01-02 18:27:12+00:00
Total,,,0.36737531,160944.1183161502,86662.2175548501,247606.335871,495212.6717420002999999999999,169776.9626673317,77829.3732036683,0.0000,0,
