,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,3914.90,3234.1767,1741.4798,5336.8996,3557.1887,1779.7109,361.2432,0,2024-09-26 20:17:57+00:00
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,284.23,234.8081,126.4351,0,0,0,-361.2432,0,2024-09-26 15:01:59+00:00
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,0.00,0.0000,0.0000,0,0,0,0.0000,0,2024-09-23 16:59:44+00:00
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,14039.94,8723.4454,4697.2399,13669.6584,9538.9046,4130.7536,248.9731,0,2024-09-24 13:57:11+00:00
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,10620.43,6598.7990,3553.1995,10340.3326,7319.8185,3020.5141,188.3342,0,2024-09-26 11:01:47+00:00
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,10114.45,6284.4181,3383.9174,9847.6971,0,9847.6971,179.3616,0,2024-09-25 20:42:35+00:00
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,5790.04,3597.5295,1937.1313,5637.3365,4185.1440,1452.1926,102.6758,0,2024-09-22 22:11:47+00:00
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,5141.88,3194.8078,1720.2811,5006.2709,3764.5216,1241.7494,91.1820,0,2024-09-26 18:37:35+00:00
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,5080.93,3156.9377,1699.8895,4946.9284,3724.9682,1221.9604,90.1012,0,2024-09-26 01:56:35+00:00
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,4669.12,2901.0675,1562.1133,4545.9792,3457.7246,1088.2548,82.7984,0,2024-09-25 01:38:11+00:00
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,4085.60,2538.5086,1366.8893,3977.8485,3079.0503,898.7985,72.4506,0,2024-09-24 10:33:59+00:00
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,3988.90,2478.4259,1334.5370,3883.6991,3016.2967,867.4023,70.7361,0,2024-09-26 20:55:35+00:00
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,3389.63,2106.0811,1134.0437,3300.2339,2627.4013,672.8326,60.1091,0,2024-09-25 01:34:11+00:00
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,3303.25,2052.4106,1105.1441,3216.1319,2571.3452,644.7868,58.5772,0,2024-09-26 16:31:59+00:00
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,3275.04,2034.8828,1095.7061,3188.6658,2553.0384,635.6277,58.0768,0,2024-09-16 16:14:47+00:00
0x264062ca46a1322c2e6464471764089e01f22f1900000000000000000000066b,mainnet,sDOLA-DOLA BSP,1904.48,1183.3119,637.1679,1854.2523,1663.6154,190.6369,33.7725,0,2024-09-24 03:59:47+00:00
0xb91159aa527d4769cb9faf3e4adb760c7e8c8ea700000000000000000000067c,mainnet,ETHx/wstETH,1882.52,1169.6674,629.8209,1832.8716,1649.3644,183.5071,33.3832,0,2024-09-26 15:15:11+00:00
0x7761b6e0daa04e70637d81f1da7d186c205c2ade00000000000000000000065d,mainnet,rsETH / ETHx,1592.16,989.2579,532.6773,1550.1693,1460.9359,89.2334,28.2341,0,2024-09-23 00:45:59+00:00
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,RDNT-WETH,1461.90,908.3233,489.0972,1423.3446,1376.4037,46.9409,25.9241,0,2024-09-25 07:38:59+00:00
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,1384.85,860.4498,463.3191,1348.3268,1326.4023,21.9246,24.5579,0,2024-08-26 16:44:59+00:00
0x4216d5900a6109bba48418b5e2ab6cc4e61cf4770000000000000000000006a1,mainnet,trenSTETH,1113.15,691.6342,372.4184,1083.7925,1083.7924,0.0000,19.7398,0,2024-09-25 17:08:59+00:00
0x8d93b853849b9884e2bb413444ec23eb5366ee910002000000000000000006b3,mainnet,ECLP-sUSDe-GYD,1038.50,645.2519,347.4433,1011.1112,1011.1109,0.0000,18.4160,0,2024-09-26 08:41:35+00:00
0xed0df9cd16d806e8a523805e53cf0c56e6db4d1d000000000000000000000687,mainnet,ShezUSD/sDAI,615.85,382.6465,206.0404,599.6079,0,599.6078,10.9210,0,2024-09-23 01:40:11+00:00
0x1cce5169bde03f3d5ad0206f6bd057953539dae600020000000000000000062b,mainnet,ECLP-GYD-sDAI,608.25,377.9244,203.4977,592.2084,0,592.2085,10.7863,0,2024-09-26 18:26:35+00:00
0x49cbd67651fbabce12d1df18499896ec87bef46f00000000000000000000064a,mainnet,sDAI/3Pool,524.80,326.0743,175.5785,510.9593,0,510.9592,9.3065,0,2024-09-18 13:53:59+00:00
0xf7a826d47c8e02835d94fb0aa40f0cc9505cb1340002000000000000000005e0,mainnet,ECLP-wstETH-cbETH,495.66,307.9688,165.8293,0,0,0,-473.7981,0,2024-09-23 02:20:23+00:00
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,447.75,278.2008,149.8004,0,0,0,-428.0012,0,2024-09-18 22:13:59+00:00
0xdb1f2e1655477d08fb0992f82eede0053b8cd3820000000000000000000006ae,mainnet,shezETH/wstETH,340.79,211.7433,114.0156,0,0,0,-325.7589,0,2024-09-20 22:21:59+00:00
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,143.07,88.8938,47.8659,0,0,0,-136.7597,0,2024-09-26 05:48:23+00:00
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,124.39,77.2873,41.6163,0,0,0,-118.9036,0,2024-09-25 18:58:59+00:00
