,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,5039.39,5397.8096,2906.5128,8704.4116,5918.6617,2785.7499,400.0892,0,2024-05-09 22:14:17+00:00
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,964.75,1033.3665,556.4281,1666.3884,183.0074,1483.3810,76.5938,0,2024-05-09 22:25:31+00:00
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,289.27,309.8439,166.8390,0,0,0,-476.6830,0,2024-05-08 15:40:50+00:00
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,97680.11,38606.0196,20787.8567,60257.5140,41425.3432,18832.1707,863.6378,0,2024-05-09 17:15:23+00:00
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,33520.33,13248.2090,7133.6510,20678.2299,15345.1092,5333.1203,296.3699,0,2024-05-09 21:37:59+00:00
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,23505.58,9290.0886,5002.3554,14500.2685,11274.2255,3226.0433,207.8244,0,2024-05-09 15:25:35+00:00
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,19920.00,7872.9632,4239.2879,12288.3735,9816.7273,2471.6464,176.1225,0,2024-05-08 19:22:11+00:00
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,17146.66,6776.8586,3649.0777,10577.5383,8689.3954,1888.1431,151.6020,0,2024-05-09 19:18:47+00:00
0xdedb11a6a23263469567c2881a9b9f8629ee0041000000000000000000000669,mainnet,svETH/wstETH,15721.95,6213.7718,3345.8771,9698.6544,8110.2666,1588.3878,139.0055,0,2024-05-08 13:40:23+00:00
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,11649.08,4604.0551,2479.1066,7186.1571,4735.2208,2450.9360,102.9954,0,2024-05-09 20:29:47+00:00
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,7743.96,3060.6382,1648.0359,4777.1422,3147.8333,1629.3089,68.4681,0,2024-05-09 00:05:35+00:00
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,7639.71,3019.4355,1625.8499,4712.8318,3105.4567,1607.3751,67.5464,0,2024-05-08 00:11:35+00:00
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,5521.79,2182.3720,1175.1234,3406.3159,2244.5459,1161.7702,48.8206,0,2024-05-09 13:06:35+00:00
